Exact Match Keyword;Keyword;Search Rank;Video Name;Video URL;Upload Date;Video Age(days);Views;Likes;Dislikes;Comments;Total Watch Time (in minutes);Length (in minutes);Subscribes Driven;Shares;Max Video Resolution;Title length;Times term1 in title;Times term2 in title;Description length;Times term1 in description;Times term2 in description;Non-YouTube links in Description;YouTube links in Description;Num. of tags;Times term1 in tags;Times term2 in tags;Num. of subs;Words in subs;Times term1 in subs;Times term2 in subs;Term1 in channel name;Term2 in channel name;Total channel videos;Total channel subscribers;Channel age (days)
long;stas piexa;1;"12 HOURS LONG RELAX MUSIC - Relaxation, Meditation, Sleep and Spa Music by RELAX CHANNEL ☯188";https://www.youtube.com/watch?v=nPuHl_Hl2xI;2014/02/07;940;205096;570;53;48;246115.2;714.8;174;259;480;95;1;0;1484;2;0;3;0;16;0;0;0;N/A;0;0;No;No;315;189811;1428
long;stas piexa;2;"Miami teen commits suicide in two-hour long Facebook Live video";https://www.youtube.com/watch?v=HzOfcjBeV1s;2017/25/01;2;10535;9;17;10;5267.5;1.1;0;10;1080;63;1;0;600;0;0;4;1;5;0;0;0;N/A;0;0;No;No;9815;62320;3781
